event,campaign,home,away
18293,17FBWeek14,FL6259,FL227
18353,17FBWeek14,AL11845,AL13541
18331,17FBWeek14,FL17957,FL11643
18292,17FBWeek14,FL5818,FL25573
15960,17FBWeek14,CA22597,CA68580
18314,17FBWeek14,FL7595a,FL5913
15444,17FBWeek14,TN8740,no opponent ID given
18257,17FBWeek14,TN8740,TN8662
15952,17FBWeek14,CA67860,CA22575
18291,17FBWeek14,FL69172,FL1485
18271,17FBWeek14,GA23123,GHSA
18277,17FBWeek14,GA5040,GA5132
17398,17FBWeek14,NC8259,no opponent ID given
18330,17FBWeek14,FL71953,FHSAA
13971,17FBWeek14,NYSPHSAA8,no opponent ID given
13522,17FBWeek14,NYSPHSAA,no opponent ID given
13521,17FBWeek14,NYSPHSAA,no opponent ID given
18430,17FBWeek14,CA22949,CA22858
18416,17FBWeek14,OSAA,no opponent ID given
18418,17FBWeek14,OSAA,no opponent ID given
18417,17FBWeek14,OSAA,no opponent ID given
18420,17FBWeek14,OSAA,no opponent ID given
18419,17FBWeek14,OSAA,no opponent ID given
