event,home,away,campaign
10782,OK21106,OK21016,FootballWeek17
10793,OK21106,OK25063,FootballWeek17
13356,NC12317,SC1122,FootballWeek17
10558,no home team id given,SC1122,FootballWeek17
16823,SC2264,SC15,FootballWeek17
19119,SC1501,SC1642,FootballWeek17
19166,SC8263,SC2017,FootballWeek17
19186,SC3840,SC2127,FootballWeek17
17180,SC70,SC2480,FootballWeek17
18775,SC2316,SC2705,FootballWeek17
14855,SC1501,SC415,FootballWeek17
17834,SC2017,SC438,FootballWeek17
13542,SC13641,SC50182,FootballWeek17
19185,SC3840,SC526,FootballWeek17
17839,SC2017,SC815,FootballWeek17
19184,SC3840,SC895,FootballWeek17
17153,SC70,SC895,FootballWeek17
14853,SC1501,SC902,FootballWeek17
18039,TN8695,TN51105,FootballWeek17
14596,TN8629,TN51159,FootballWeek17
18040,TN8695,TN71316,FootballWeek17
14642,TN8563,TN8593,FootballWeek17
16618,TN8596,TN8634,FootballWeek17
16619,TN8596,TN8674,FootballWeek17
16621,TN8596,TN8799,FootballWeek17
19316,VA7489a,VA12286,FootballWeek17
13485,VA24948,VA12287,FootballWeek17
14217,VA50032,VA12834,FootballWeek17
10800,VA12896,VA12880,FootballWeek17
16557,VA12891,VA12889,FootballWeek17
10806,VA12896,VA12890,FootballWeek17
19320,VA24971,VA12896,FootballWeek17
19315,VA12285,VA13255,FootballWeek17
11547,VA13257,VA13267,FootballWeek17
18188,VA24878,VA24895,FootballWeek17
14222,VA50032,VA24902,FootballWeek17
8655,VA7836,VA24927,FootballWeek17
9466,VA24906,VA24954,FootballWeek17
19319,VA7803,VA67651,FootballWeek17
9575,VA24906,VA67761,FootballWeek17
9464,VA24906,VA68148,FootballWeek17
14179,VA7535,VA7522,FootballWeek17
19318,VA7817,VA7556,FootballWeek17
18189,VA24878,VA7775,FootballWeek17
8654,VA7836,VA7791,FootballWeek17
19317,VA7527,VA7804,FootballWeek17
8653,VA7836,VA7850,FootballWeek17
9148,WI19472,WI13635,FootballWeek17
18592,WI13630,WI17133,FootballWeek17
18593,WI13630,WI17146,FootballWeek17
18602,WI13630,WI17176,FootballWeek17
19247,WI19519,WI19415,FootballWeek17
9162,WI19472,WI19447,FootballWeek17
19246,WI19519,WI19454,FootballWeek17
9147,WI19472,WI19515,FootballWeek17
